id,name,image_URL
1,Animals,https://raw.githubusercontent.com/Amirmashhori/wallpaiper_repo/Game/category_images/1photo_2025-09-27_00-10-40.jpg
2,angry birds,https://raw.githubusercontent.com/Amirmashhori/wallpaiper_repo/Game/category_images/2@Full_HD_4K_wallpapers-angry-birds 2.jpg
3,car,https://raw.githubusercontent.com/Amirmashhori/wallpaiper_repo/Game/category_images/1761008614631_car.jpg
4,nuture,https://raw.githubusercontent.com/Amirmashhori/wallpaiper_repo/Game/category_images/1761008664996_nuture.jpg
